# Start time is 15:33:33
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 73.24; lockin V = 500mV-Rms, tau = 300ms, 1MV/A
# 
-879.9877928 0.0305180 0.0001873 -0.000010067529388 0.000000164895944
-860.1510643 0.0305180 0.0000832 -0.000016555789253 -0.000001419261946
-840.0091554 0.0305180 0.0000911 -0.000020949531524 0.000001589967291
-819.8672465 0.0305180 -0.0000316 -0.000019904192942 -0.000001228503300
-800.0305180 0.0305180 0.0000895 -0.000018922180357 -0.000000495938997
-779.8886091 0.0305180 0.0001288 -0.000018821341725 -0.000000837233969
-760.0518807 0.0305180 0.0000839 -0.000021399217937 0.000000336860090
-739.9099718 0.0305180 0.0001059 -0.000018500655735 0.000000245478035
-720.0732433 0.0305180 0.0001033 -0.000016386926587 0.000000089524104
-699.9313344 0.0305180 0.0001227 -0.000019703984181 0.000001759597691
-680.0946059 0.0305180 -0.0000679 -0.000026965314383 0.000001620995014
-659.9526970 0.0305180 -0.0000742 -0.000028941450011 0.000001542612155
-640.1159686 0.0305180 -0.0000310 -0.000026235915000 -0.000000280235758
-619.9740597 0.0305180 -0.0000168 -0.000034799331704 0.000000340958391
-600.1373312 0.0305180 0.0000128 -0.000033226873678 0.000000594382793
-579.9954223 0.0305180 -0.0000574 -0.000034376448423 0.000001142628721
-559.8535134 0.0305180 -0.0001841 -0.000028031661381 0.000001086856121
-540.0167849 0.0305180 0.0001347 -0.000024899894311 0.000000461047346
-519.8748760 0.0305180 0.0000951 -0.000021876812972 0.000001815353844
-500.0381476 0.0305180 0.0001222 -0.000024346629037 0.000000053806567
-479.8962387 0.0305180 -0.0000908 -0.000023365046430 -0.000000014771386
-460.0595102 0.0305180 0.0000425 -0.000025598321775 -0.000000438623880
-439.9176013 0.0305180 0.0000284 -0.000027549427049 0.000000382571677
-420.0808728 0.0305180 -0.0001131 -0.000038472701190 -0.000001817810357
-399.9389639 0.0305180 -0.0003921 -0.000036489890919 -0.000000387101130
-380.1022354 0.0305180 -0.0001942 -0.000031598239507 -0.000000397102229
-359.9603265 0.0305180 -0.0000632 -0.000033427107110 -0.000001539763257
